name,k,draft_class,pick,rookie_season,debut_lag,g,mpg,y_pts,y_reb,y_ast,y_stl,y_blk,y_tov,y_fg3m,y_fgm,y_fga,y_ftm,y_fta
Thomas Bryant,thomas bryant,2017,42.0,2018,0,15,4.733333333333333,1.4666666666666666,1.1333333333333333,0.4,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.5333333333333333,1.4,0.3333333333333333,0.6
Admiral Schofield,admiral schofield,2019,42.0,2020,0,32,11.59375,3.09375,1.46875,0.46875,0.25,0.125,0.21875,0.59375,1.09375,2.875,0.3125,0.46875
Bruce Brown Jr.,bruce brown,2018,42.0,2019,0,74,19.554054054054053,4.3108108108108105,2.5,1.2297297297297298,0.5405405405405406,0.4864864864864865,0.6216216216216216,0.32432432432432434,1.6891891891891893,4.243243243243243,0.6081081081081081,0.8108108108108109
Isaiah Livers,isaiah livers,2021,42.0,2022,0,19,20.210526315789473,6.368421052631579,3.0,1.105263157894737,0.6842105263157895,0.3684210526315789,0.7894736842105263,1.4210526315789473,2.1578947368421053,4.7368421052631575,0.631578947368421,0.7368421052631579
Nick Richards,nick richards,2020,42.0,2021,0,15,3.6666666666666665,1.0,0.6,0.06666666666666667,0.0,0.0,0.2,0.0,0.26666666666666666,0.5333333333333333,0.4666666666666667,0.7333333333333333
Maxime Raynaud,maxime raynaud,2025,42.0,2026,0,74,26.594594594594593,12.45945945945946,7.513513513513513,1.3513513513513513,0.5135135135135135,0.527027027027027,1.2702702702702702,0.32432432432432434,5.175675675675675,9.067567567567568,1.7837837837837838,2.27027027027027
Trevor Keels,trevor keels,2022,42.0,2023,0,3,2.6666666666666665,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.0
KJ Simpson,kj simpson,2024,42.0,2025,0,36,23.444444444444443,7.833333333333333,3.0277777777777777,3.111111111111111,0.9444444444444444,0.16666666666666666,1.5555555555555556,0.9166666666666666,2.888888888888889,8.36111111111111,1.1388888888888888,1.3888888888888888
Mike Scott,mike scott,2012,43.0,2013,0,40,9.425,4.575,2.75,0.3,0.1,0.05,0.525,0.0,1.75,3.675,1.075,1.4
Malcolm Lee,malcolm lee,2011,43.0,2012,0,19,12.842105263157896,3.263157894736842,1.368421052631579,1.631578947368421,0.42105263157894735,0.21052631578947367,0.8947368421052632,0.10526315789473684,1.2105263157894737,3.1052631578947367,0.7368421052631579,0.8947368421052632
Devin Ebanks,devin ebanks,2010,43.0,2011,0,19,6.052631578947368,3.263157894736842,1.4210526315789473,0.10526315789473684,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.10526315789473684,1.105263157894737,2.6842105263157894,0.9473684210526315,1.2105263157894737
Jaylen Nowell,jaylen nowell,2019,43.0,2020,0,15,10.2,3.8,0.8666666666666667,1.2666666666666666,0.2,0.06666666666666667,0.2,0.2,1.2666666666666666,3.533333333333333,1.0666666666666667,1.1333333333333333
Jahmi'us Ramsey,jahmius ramsey,2020,43.0,2021,0,13,7.230769230769231,3.076923076923077,0.7692307692307693,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.38461538461538464,1.1538461538461537,2.923076923076923,0.38461538461538464,0.38461538461538464
Greg Brown III,greg brown,2021,43.0,2022,0,47,13.553191489361701,4.787234042553192,2.872340425531915,0.7446808510638298,0.5531914893617021,0.5106382978723404,0.7659574468085106,0.40425531914893614,1.7234042553191489,4.042553191489362,0.9361702127659575,1.3829787234042554
Jamir Watkins,jamir watkins,2025,43.0,2026,0,48,21.458333333333332,7.666666666666667,4.041666666666667,1.3958333333333333,1.125,0.5208333333333334,0.8333333333333334,0.9791666666666666,2.75,6.166666666666667,1.1875,1.7083333333333333
Moussa Diabate,moussa diabate,2022,43.0,2023,0,22,8.909090909090908,2.6818181818181817,2.272727272727273,0.18181818181818182,0.3181818181818182,0.36363636363636365,0.4090909090909091,0.045454545454545456,1.0909090909090908,2.1363636363636362,0.45454545454545453,0.7272727272727273
Charles Jenkins,charles jenkins,2011,44.0,2012,0,50,17.88,5.94,1.36,3.38,0.66,0.12,1.2,0.06,2.6,5.82,0.68,0.78
Kim English,kim english,2012,44.0,2013,0,40,10.075,2.9,0.925,0.65,0.375,0.075,0.475,0.35,1.025,2.775,0.5,0.675
Mike Muscala,mike muscala,2013,44.0,2014,0,20,10.75,3.8,2.6,0.35,0.15,0.5,0.6,0.0,1.55,3.65,0.7,0.7
Markel Brown,markel brown,2014,44.0,2015,0,45,17.377777777777776,4.8,2.3777777777777778,0.8666666666666667,0.6888888888888889,0.26666666666666666,0.6,0.37777777777777777,1.6888888888888889,4.666666666666667,1.0444444444444445,1.2666666666666666
Damyean Dotson,damyean dotson,2017,44.0,2018,0,44,10.75,4.136363636363637,1.9090909090909092,0.7045454545454546,0.2727272727272727,0.045454545454545456,0.38636363636363635,0.5,1.6363636363636365,3.659090909090909,0.36363636363636365,0.5227272727272727
Andrew Harrison,andrew harrison,2015,44.0,2017,1,72,20.48611111111111,5.902777777777778,1.8888888888888888,2.75,0.7361111111111112,0.2916666666666667,1.1805555555555556,0.5972222222222222,1.625,5.0,2.0555555555555554,2.6944444444444446
Bol Bol,bol bol,2019,44.0,2020,0,6,14.5,6.666666666666667,3.1666666666666665,1.0,0.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,4.666666666666667,1.3333333333333333,1.6666666666666667
Kessler Edwards,kessler edwards,2021,44.0,2022,0,48,20.625,5.916666666666667,3.5833333333333335,0.6458333333333334,0.6041666666666666,0.5,0.875,1.0,2.2916666666666665,5.5625,0.3333333333333333,0.3958333333333333
Ryan Rollins,ryan rollins,2022,44.0,2023,0,12,5.166666666666667,1.9166666666666667,1.0,0.5,0.08333333333333333,0.08333333333333333,1.3333333333333333,0.25,0.5833333333333334,1.6666666666666667,0.5,0.5
